# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
5.559043e+01	3.482269e-25
5.571857e+01	3.499451e-25
5.584702e+01	3.516657e-25
5.597576e+01	3.533890e-25
5.610480e+01	3.549819e-25
5.623413e+01	3.567100e-25
5.636377e+01	3.584406e-25
5.649370e+01	3.601737e-25
5.662393e+01	3.619092e-25
5.675446e+01	3.636472e-25
5.688529e+01	3.655216e-25
5.701643e+01	3.672646e-25
5.714786e+01	3.690101e-25
5.727960e+01	3.707579e-25
5.741165e+01	3.725081e-25
5.754399e+01	3.742606e-25
5.767665e+01	3.761507e-25
5.780960e+01	3.779081e-25
5.794287e+01	3.796678e-25
5.807644e+01	3.815656e-25
5.821032e+01	3.833300e-25
5.834451e+01	3.850969e-25
5.847901e+01	3.870021e-25
5.861382e+01	3.887736e-25
5.874894e+01	3.906838e-25
5.888437e+01	3.924599e-25
5.902011e+01	3.943751e-25
5.915616e+01	3.962928e-25
5.929253e+01	3.980759e-25
5.942922e+01	3.999984e-25
5.956621e+01	4.019235e-25
5.970353e+01	4.037133e-25
5.984116e+01	4.056431e-25
5.997911e+01	4.075753e-25
6.011737e+01	4.095100e-25
6.025596e+01	4.114470e-25
6.039486e+01	4.132479e-25
6.053409e+01	4.151895e-25
6.067363e+01	4.171336e-25
6.081350e+01	4.190800e-25
6.095369e+01	4.210286e-25
6.109420e+01	4.229796e-25
6.123504e+01	4.250725e-25
6.137620e+01	4.270282e-25
6.151769e+01	4.289861e-25
6.165950e+01	4.309463e-25
6.180164e+01	4.329087e-25
6.194411e+01	4.348733e-25
6.208690e+01	4.369559e-25
6.223003e+01	4.389249e-25
6.237348e+01	4.408961e-25
6.251727e+01	4.430105e-25
6.266139e+01	4.449861e-25
6.280584e+01	4.471052e-25
6.295062e+01	4.490852e-25
6.309573e+01	4.512088e-25
6.324119e+01	4.531931e-25
6.338697e+01	4.553213e-25
6.353309e+01	4.573097e-25
6.367955e+01	4.594425e-25
6.382635e+01	4.615775e-25
6.397348e+01	4.635722e-25
6.412096e+01	4.657116e-25
6.426877e+01	4.678531e-25
6.441693e+01	4.699969e-25
6.456542e+01	4.721430e-25
6.471426e+01	4.741478e-25
6.486344e+01	4.762980e-25
6.501297e+01	4.784504e-25
6.516284e+01	4.806049e-25
6.531306e+01	4.827613e-25
6.546362e+01	4.849200e-25
6.561453e+01	4.870807e-25
6.576578e+01	4.893877e-25
6.591739e+01	4.915526e-25
6.606934e+01	4.937195e-25
6.622165e+01	4.958885e-25
6.637431e+01	4.980594e-25
