# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
4.275629e+01	7.183813e-26
4.285485e+01	7.222867e-26
4.295364e+01	7.266367e-26
4.305266e+01	7.309978e-26
4.315191e+01	7.353703e-26
4.325138e+01	7.397536e-26
4.335109e+01	7.441480e-26
4.345102e+01	7.485534e-26
4.355119e+01	7.529695e-26
4.365158e+01	7.573966e-26
4.375221e+01	7.618343e-26
4.385307e+01	7.662826e-26
4.395416e+01	7.707417e-26
4.405549e+01	7.756587e-26
4.415704e+01	7.801396e-26
4.425884e+01	7.846309e-26
4.436086e+01	7.891327e-26
4.446313e+01	7.936445e-26
4.456562e+01	7.986195e-26
4.466836e+01	8.031526e-26
4.477133e+01	8.076959e-26
4.487454e+01	8.122490e-26
4.497799e+01	8.172691e-26
4.508167e+01	8.218431e-26
4.518559e+01	8.268855e-26
4.528976e+01	8.314799e-26
4.539416e+01	8.360838e-26
4.549881e+01	8.411591e-26
4.560369e+01	8.457829e-26
4.570882e+01	8.508801e-26
4.581419e+01	8.555237e-26
4.591980e+01	8.606421e-26
4.602566e+01	8.657718e-26
4.613176e+01	8.704448e-26
4.623810e+01	8.755956e-26
4.634469e+01	8.802873e-26
4.645153e+01	8.854586e-26
4.655861e+01	8.906406e-26
4.666594e+01	8.958330e-26
4.677351e+01	9.005627e-26
4.688134e+01	9.057753e-26
4.698941e+01	9.109982e-26
4.709773e+01	9.162311e-26
4.720630e+01	9.214743e-26
4.731513e+01	9.267277e-26
4.742420e+01	9.315120e-26
4.753352e+01	9.367843e-26
4.764310e+01	9.420664e-26
4.775293e+01	9.473582e-26
4.786301e+01	9.526597e-26
4.797334e+01	9.579708e-26
4.808393e+01	9.632912e-26
4.819478e+01	9.686209e-26
4.830588e+01	9.744459e-26
4.841724e+01	9.797949e-26
4.852885e+01	9.851531e-26
4.864072e+01	9.905205e-26
4.875285e+01	9.958966e-26
4.886524e+01	1.001772e-25
4.897788e+01	1.007166e-25
4.909079e+01	1.012569e-25
4.920395e+01	1.017981e-25
4.931738e+01	1.023895e-25
4.943107e+01	1.029324e-25
4.954502e+01	1.035257e-25
4.965923e+01	1.040704e-25
4.977371e+01	1.046159e-25
4.988845e+01	1.052118e-25
5.000345e+01	1.057590e-25
5.011872e+01	1.063559e-25
5.023426e+01	1.069039e-25
5.035006e+01	1.075026e-25
5.046613e+01	1.081021e-25
5.058247e+01	1.086526e-25
5.069907e+01	1.092538e-25
5.081594e+01	1.098560e-25
5.093309e+01	1.104087e-25
5.105050e+01	1.110125e-25
5.116818e+01	1.116171e-25
5.128614e+01	1.122226e-25
5.140437e+01	1.127784e-25
5.152286e+01	1.133854e-25
5.164164e+01	1.139933e-25
5.176068e+01	1.146019e-25
5.188000e+01	1.152114e-25
5.199960e+01	1.158216e-25
5.211947e+01	1.164325e-25
5.223962e+01	1.170443e-25
5.236004e+01	1.176567e-25
5.248075e+01	1.182699e-25
