# log10(T[K])  Vol_PDF  Mass_PDF  Diff_emm  Den_pdf
5.245036125183105469e+00 7.357511459353185956e-02 1.061591107522811134e-01 3.033589859250721554e-01 1.380338016736961868e-02
5.251055717468261719e+00 7.036051865413313344e-02 1.047838661429852519e-01 3.532324246034735937e-01 1.548000498934299848e-02
5.257074832916259766e+00 6.942742796617107359e-02 1.025979705441235207e-01 3.265872826412902219e-01 1.471244540408085839e-02
5.263093948364257812e+00 7.352509588987199418e-02 1.022114351601217247e-01 2.382194549184621368e-01 1.122736657964958779e-02
5.269113540649414062e+00 6.736678278179039636e-02 9.784197501791457030e-02 2.878736788151664561e-01 1.402004289979389903e-02
5.275133132934570312e+00 7.948511598299676240e-02 1.051231179434373997e-01 3.900032477791762209e-01 1.583172379059231624e-02
5.281152248382568359e+00 7.900978103627194493e-02 1.020138259042459722e-01 2.568342431609128007e-01 1.232913902605808562e-02
5.287171363830566406e+00 8.503596096571140739e-02 1.036858450210283999e-01 2.797660900589531985e-01 1.431842165174506895e-02
5.293190956115722656e+00 7.688304541645170354e-02 1.031598154592485161e-01 2.887888517311988368e-01 1.363785305836880818e-02
5.299210548400878906e+00 8.679354336611652676e-02 1.090604083097881649e-01 2.529682519651575423e-01 1.245682030654460606e-02
5.305229663848876953e+00 8.523595494000486827e-02 1.107688273928001260e-01 2.905192563118130789e-01 1.322807767763563812e-02
5.311248779296875000e+00 9.292081032011946518e-02 1.111910296437805118e-01 2.553201626629795218e-01 1.141250377377756378e-02
5.317268371582031250e+00 9.662055424477752896e-02 1.152882906524515111e-01 2.870319678301277988e-01 1.384867356152626357e-02
5.323287963867187500e+00 1.002389569193670171e-01 1.138513104088985234e-01 2.418255784334031322e-01 1.117611427896215114e-02
5.329307079315185547e+00 1.022006636717520817e-01 1.192093276243418182e-01 2.797360728609846747e-01 1.343545600687949017e-02
5.335326671600341797e+00 9.602190086233824973e-02 1.115073784607790441e-01 2.568828170519779075e-01 1.276380692241159583e-02
5.341345787048339844e+00 1.141221121013474560e-01 1.230990519416868545e-01 2.509328991254725083e-01 1.229376765606544387e-02
5.347365379333496094e+00 1.172995229138305701e-01 1.203258326941733652e-01 2.786180378847115113e-01 1.305373785263364526e-02
5.353384971618652344e+00 1.101667988571944784e-01 1.210903537371054856e-01 3.009055112245202501e-01 1.480676428688154286e-02
5.359404087066650391e+00 1.312932401970320628e-01 1.326770620916536692e-01 2.431824525787905644e-01 1.188685232087162424e-02
5.365423202514648438e+00 1.355252373248431452e-01 1.378628857038327604e-01 2.051210171798837356e-01 1.059142721005838957e-02
5.371442794799804688e+00 1.323923587493404663e-01 1.330668486066250711e-01 2.130511109356470478e-01 1.061996910710933696e-02
5.377462387084960938e+00 1.450949810647828297e-01 1.415632587182592550e-01 2.184889888375947387e-01 1.130694928549893542e-02
5.383481502532958984e+00 1.596056067051004612e-01 1.473452316153947839e-01 1.614362841644697566e-01 9.007708869665577087e-03
5.389500617980957031e+00 1.496108925948134438e-01 1.419402703914896258e-01 1.770800721731780325e-01 1.090438461751403257e-02
5.395520210266113281e+00 1.640383641016887883e-01 1.486351088404591625e-01 1.474973012616559997e-01 9.971810533808588700e-03
5.401539802551269531e+00 1.749831671317611526e-01 1.571568793343640635e-01 1.676276835015173550e-01 1.085316169759419948e-02
5.407558917999267578e+00 1.822006378837930374e-01 1.635666603326762503e-01 1.844228115986613070e-01 1.178135679020945147e-02
5.413578033447265625e+00 2.083713657443632128e-01 1.746699833693036719e-01 1.705466709122192281e-01 1.124510358582548296e-02
5.419597625732421875e+00 2.091861858884265513e-01 1.809807044171712620e-01 1.524628056039049606e-01 1.101886140787290344e-02
5.425617218017578125e+00 2.147539084696244716e-01 1.830244351234837086e-01 1.507614834224509370e-01 1.020543003047226678e-02
5.431636333465576172e+00 2.237064580039808681e-01 1.882139119915786640e-01 1.677713568541347733e-01 1.132241169334485993e-02
5.437655448913574219e+00 2.579557866629556551e-01 2.104446258312494822e-01 1.335530778298951449e-01 1.042939554125345974e-02
5.443675041198730469e+00 2.652510879166472546e-01 2.196702641747486084e-01 1.466113589622157209e-01 1.226561957400993177e-02
5.449694633483886719e+00 2.930837629968326974e-01 2.345748445374180313e-01 1.414132907802467531e-01 1.203920125969251340e-02
5.455713748931884766e+00 3.006165586670518919e-01 2.417710525589506498e-01 1.454078752281920683e-01 1.302818677031148710e-02
5.461732864379882812e+00 3.336610056637347443e-01 2.598142757583739026e-01 1.485722958225093593e-01 1.262245520004316029e-02
5.467752456665039062e+00 3.505310977326355215e-01 2.700635059889003320e-01 1.336308944762886475e-01 1.338630506030710592e-02
5.473772048950195312e+00 3.780287687461720281e-01 2.926006344810104243e-01 1.746520307131151084e-01 1.643943232317848085e-02
5.479791164398193359e+00 3.924133479440323757e-01 3.033967309924065492e-01 1.297675608786640622e-01 1.395067550600443199e-02
5.485810279846191406e+00 4.194937874827846525e-01 3.206568630054416613e-01 1.484161545209252975e-01 1.530024529181894279e-02
5.491829872131347656e+00 4.512867923873105647e-01 3.436412633625175461e-01 1.645236431611583061e-01 1.688504634450374228e-02
5.497849464416503906e+00 4.685371819054777176e-01 3.518537725748203115e-01 1.712885978584331725e-01 1.894391914111112976e-02
5.503868579864501953e+00 4.853940644576572594e-01 3.679716705654619280e-01 1.626339208979817319e-01 1.881293793489621780e-02
5.509887695312500000e+00 5.050125195002580503e-01 3.822293326482129605e-01 1.801873410099150141e-01 2.085196331856878360e-02
5.515907287597656250e+00 5.583070451598979300e-01 4.199973115122055956e-01 1.626645496628453536e-01 2.101464311677351052e-02
5.521926879882812500e+00 5.941688797224449203e-01 4.286158022743111196e-01 1.453133295834635463e-01 1.907519404302953497e-02
5.527945995330810547e+00 6.360497322938054587e-01 4.663476358014913559e-01 2.052138987647226798e-01 2.416186565114506260e-02
5.533965110778808594e+00 6.554791214937135679e-01 4.674902371441661542e-01 1.789187185653269008e-01 2.311235471924950186e-02
5.539984703063964844e+00 6.640328883395250070e-01 4.804114798399889974e-01 2.157211545513365025e-01 2.636225043534757770e-02
5.546004295349121094e+00 7.402127895089859466e-01 5.337373725838228111e-01 1.688596634726578782e-01 2.445095881392487375e-02
5.552023410797119141e+00 7.194760554921681983e-01 5.234494850533553123e-01 2.017021731001227836e-01 2.662754427916573519e-02
5.558042526245117188e+00 7.719137778880280631e-01 5.427523707786489071e-01 1.900669557455012260e-01 2.658464075751983471e-02
5.564062118530273438e+00 8.751032310037113460e-01 6.135604359404414065e-01 2.150241069073957900e-01 2.959700929665521132e-02
5.570081710815429688e+00 8.729122118371517303e-01 6.303652295318780130e-01 2.185574623666902694e-01 3.053985520836321674e-02
5.576100826263427734e+00 9.119744325781331540e-01 6.416887996346908318e-01 2.364019684422218326e-01 3.381371640847773141e-02
5.582119941711425781e+00 1.007207007984324498e+00 6.905532113383489046e-01 2.190071909254291127e-01 3.321489248544100964e-02
5.588139533996582031e+00 1.058567362315693039e+00 7.079777344022993857e-01 2.546900750224921905e-01 3.488935576915686704e-02
5.594159126281738281e+00 1.092958370654467659e+00 7.503300743623303459e-01 2.303450195871353245e-01 3.539889225808712930e-02
5.600178241729736328e+00 1.124224847228326940e+00 7.662780283635099998e-01 2.646464610845534193e-01 3.820996169708736762e-02
5.606197357177734375e+00 1.185263269897453897e+00 7.987972843508970300e-01 2.301951876002381325e-01 3.623284249481134589e-02
5.612216949462890625e+00 1.249264129126540057e+00 8.317134440768650938e-01 2.229591082746302244e-01 3.658160941900768376e-02
5.618236541748046875e+00 1.289134451835764139e+00 8.607263167663342651e-01 2.526112749808668845e-01 3.928090452644577429e-02
5.624255657196044922e+00 1.297991165727183427e+00 8.734438503996119207e-01 2.378857261920563626e-01 3.890561051901972323e-02
5.630274772644042969e+00 1.370187562678702564e+00 9.138371077007904075e-01 2.538619441003191479e-01 3.954020938772723898e-02
5.636294364929199219e+00 1.463552772265488411e+00 9.682113714300339957e-01 2.815198279048055086e-01 4.444211141545856281e-02
5.642313957214355469e+00 1.530197890411297168e+00 9.845930864082028666e-01 3.273128255376792639e-01 4.470099018527136370e-02
5.648333072662353516e+00 1.580080977423178989e+00 1.022182284079107495e+00 2.565505147250465856e-01 4.207432338241944014e-02
5.654352188110351562e+00 1.657520487174694468e+00 1.055143290054131544e+00 2.629156767071963441e-01 4.509245953282368935e-02
5.660371780395507812e+00 1.764481016787364798e+00 1.126913654829480249e+00 2.840308448337809932e-01 4.678147417543970094e-02
5.666391372680664062e+00 1.787178632555046276e+00 1.129259680839081570e+00 2.503798810269474151e-01 4.532403913407522661e-02
5.672410964965820312e+00 1.839255054849292748e+00 1.176781941595558267e+00 3.030832390180208669e-01 4.892746910207580041e-02
5.678430080413818359e+00 1.898632725940151200e+00 1.203971762943766288e+00 2.935443866840733440e-01 5.142833061629480812e-02
